history_date;total_isk
2017-01-01;1018079015923374.4
2017-01-02;1016865919990454.6
2017-01-03;1014023324979247.0
2017-01-04;1012489275493151.2
2017-01-05;1013402787570905.0
2017-01-06;1013800059989639.0
2017-01-07;1015296076689875.2
2017-01-08;1019481327556502.6
2017-01-09;1018686000552411.4
2017-01-10;1017059322265018.8
2017-01-11;1016182413513897.5
2017-01-12;1015903679749103.8
2017-01-13;1014445136435054.9
2017-01-14;1014216599408656.1
2017-01-15;1014142320221000.6
2017-01-16;1012381494352776.2
2017-01-17;1010585411085157.8
2017-01-18;1011486172900405.9
2017-01-19;1009098941396881.2
2017-01-20;1009757618909903.4
2017-01-21;1010416526960490.0
2017-01-22;1010786682679354.8
2017-01-23;1009970870187143.0
2017-01-24;1004312025692480.8
2017-01-25;999379910978604.4
2017-01-26;995194814519233.2
2017-01-27;992709845892346.8
2017-01-28;992239561299999.8
2017-01-29;990073238899764.8
2017-01-30;987209547045820.4
2017-01-31;983614515949602.8
2017-02-01;981211309971988.6
2017-02-02;980368843269113.0
2017-02-03;980179664916950.5
2017-02-04;981472985754736.1
2017-02-05;984632970178895.2
2017-02-06;982086968599446.0
2017-02-07;976566811818536.1
2017-02-08;976128716912013.5
2017-02-09;977993854154521.5
2017-02-10;977014563601478.5
2017-02-11;977155274558609.2
2017-02-12;978298899034856.5
2017-02-13;974628039043088.1
2017-02-14;974575474895115.8
2017-02-15;975029499615076.5
2017-02-16;975517585115940.2
2017-02-17;975030090327458.5
2017-02-18;977026659354741.6
2017-02-19;978622577596980.5
2017-02-20;978164097921411.9
2017-02-21;977645943792634.2
2017-02-22;978731984928558.5
2017-02-23;978124781826185.2
2017-02-24;980149347204745.0
2017-02-25;982497540168396.0
2017-02-26;984477749209094.5
2017-02-27;983582488567826.8
2017-02-28;983234479235390.0
2017-03-01;985334447747848.5
2017-03-02;985573297078312.5
2017-03-03;986750810053616.0
2017-03-04;989561425283365.8
2017-03-05;990737801427143.8
2017-03-06;989594839040290.1
2017-03-07;988081931894397.1
2017-03-08;988586171751683.8
2017-03-09;989498932757323.5
2017-03-10;990088859258279.0
2017-03-11;990785519574787.8
2017-03-12;992601848213688.1
2017-03-13;992733722951098.8
2017-03-14;988619584991057.2
2017-03-15;987877390482763.1
2017-03-16;990498893271454.0
2017-03-17;991482692385840.8
2017-03-18;993237090396909.2
2017-03-19;995861422012896.2
2017-03-20;994331670915577.9
2017-03-21;1018141639172155.2
2017-03-22;1019037169435900.0
2017-03-23;1020071151819897.5
2017-03-24;1021867966085186.5
2017-03-25;1023883056166450.1
2017-03-26;1026047206150732.0
2017-03-27;1023751602996684.1
2017-03-28;1021444590448481.1
2017-03-29;1022493701875840.8
2017-03-30;1021905580671853.5
2017-03-31;1021938996857023.1
2017-04-01;1023286734351924.6
2017-04-02;1025172870277916.4
2017-04-03;1024210142394449.8
2017-04-04;1026119321661305.2
2017-04-05;1025976808204223.1
2017-04-06;1027100561187810.2
2017-04-07;1028709502217938.0
2017-04-08;1031199086716830.8
2017-04-09;1033229260698625.6
2017-04-10;1032764313910771.8
2017-04-11;1032149285332397.0
2017-04-12;1031835369849216.8
2017-04-13;1032831351897912.4
2017-04-14;1035327191269584.0
2017-04-15;1035297961609696.0
2017-04-16;1037698444848634.6
2017-04-17;1037695802143629.0
2017-04-18;1035509912780138.1
2017-04-19;1035220344876892.8
2017-04-20;1011244371492769.1
2017-04-21;1012760659960369.6
2017-04-22;1014413871255449.9
2017-04-23;1015406575877521.8
2017-04-24;1015529296950496.9
2017-04-25;1015423789009643.5
2017-04-26;1016556001914442.0
2017-04-27;1018505608405263.1
2017-04-28;1019149316025884.2
2017-04-29;1020899087320492.2
2017-04-30;1022363819920320.5
2017-05-01;1023610777142543.4
2017-05-02;1022907775267295.5
2017-05-03;1025038969910662.1
2017-05-04;1023008038106354.9
2017-05-05;1023108723144799.8
2017-05-06;1028424200595809.8
2017-05-07;1036298311441817.5
2017-05-08;1039810632362957.2
2017-05-09;1043283977190419.8
2017-05-10;1045084299146504.9
2017-05-11;1048215818622531.2
2017-05-12;1052005398402830.0
2017-05-13;1054693630450697.2
2017-05-14;1056972869880012.0
2017-05-15;1058000336550921.5
2017-05-16;1057573736159219.9
2017-05-17;1057598955754933.0
2017-05-18;1059406646193047.2
2017-05-19;1063905386443364.5
2017-05-20;1070092216829213.6
2017-05-21;1073260346302345.6
2017-05-22;1072535348133574.4
2017-05-23;1072654819941591.4
2017-05-24;1074041325975935.2
2017-05-25;1079328192647126.2
2017-05-26;1080447510325393.0
2017-05-27;1082546154587926.5
2017-05-28;1083536708327371.9
2017-05-29;1084879864530372.5
2017-05-30;1085615265234012.1
2017-05-31;1086761036140567.5
2017-06-01;1088244296843641.2
2017-06-02;1088459800084670.5
2017-06-03;1089345831316166.5
2017-06-04;1090341808609479.9
2017-06-05;1089065194836541.5
2017-06-06;1082719159180838.4
2017-06-07;1081409231360244.4
2017-06-08;1077636357185256.6
2017-06-09;1078223713223899.1
2017-06-10;1078999598630730.6
2017-06-11;1079814136464809.5
2017-06-12;1078759964674784.8
2017-06-13;1077729519648514.1
2017-06-14;1078136881706290.6
2017-06-15;1079982096270596.9
2017-06-16;1082079518559123.2
2017-06-17;1082486172353053.8
2017-06-18;1080947278865264.2
2017-06-19;1076196125872595.9
2017-06-20;1073276819618658.6
2017-06-21;1071900111476777.2
2017-06-22;1071063046009249.0
2017-06-23;1071637974990938.5
2017-06-24;1072160820895792.9
2017-06-25;1073337818527243.2
2017-06-26;1072353783489133.1
2017-06-27;1071717161378889.0
2017-06-28;1070278861632497.4
2017-06-29;1070459766793630.0
2017-06-30;1069624718752926.2
2017-07-01;1069352915415187.5
2017-07-02;1069260694257508.4
2017-07-03;1068236073588605.6
2017-07-04;1066634853509204.5
2017-07-05;1066748530572745.1
2017-07-06;1066009671866590.2
2017-07-07;1068107287115992.0
2017-07-08;1070134529721713.1
2017-07-09;1065215296486604.2
2017-07-10;1060748351276278.5
2017-07-11;1060437439378817.4
2017-07-12;1058758103110233.0
2017-07-13;1058429403078016.5
2017-07-14;1058434487998016.2
2017-07-15;1058402197740597.5
2017-07-16;1058290008998334.8
2017-07-17;1057989136322989.8
2017-07-18;1058206034499025.6
2017-07-19;1057851464488196.5
2017-07-20;1059712389622860.8
2017-07-21;1061359555975716.8
2017-07-22;1063185946306401.9
2017-07-23;1064794683255656.0
2017-07-24;1063609772649765.2
2017-07-25;1061982201284053.8
2017-07-26;1061833562796277.6
2017-07-27;1061899581124119.2
2017-07-28;1060628803858832.8
2017-07-29;1062491682239385.8
2017-07-30;1063333037295058.2
2017-07-31;1061852472986058.4
2017-08-01;1061695355474515.9
2017-08-02;1060563833772813.9
2017-08-03;1061085405736524.2
2017-08-04;1060923672125941.2
2017-08-05;1062842878106820.4
2017-08-06;1065288319784210.0
2017-08-07;1063240338227779.6
2017-08-08;1062949246768922.9
2017-08-09;1064133910814411.6
2017-08-10;1060789507173192.9
2017-08-11;1061077823424176.4
2017-08-12;1062165720616455.9
2017-08-13;1061532228035461.1
2017-08-14;1059302544862133.6
2017-08-15;1057604842457231.8
2017-08-16;1057632451812522.6
2017-08-17;1061546742213486.9
2017-08-18;1061262773166098.8
2017-08-19;1060827449830432.2
2017-08-20;1062889001461172.4
2017-08-21;1062374678850720.0
2017-08-22;1060916179845604.9
2017-08-23;1060192599588320.8
2017-08-24;1061089782551773.5
2017-08-25;1060413843074774.5
2017-08-26;1061643577694261.9
2017-08-27;1063947923954383.8
2017-08-28;1061971756820156.4
2017-08-29;1060978973701695.6
2017-08-30;1062538197576351.4
2017-08-31;1062103313757448.0
2017-09-01;1063445830842669.0
2017-09-02;1064025414833767.4
2017-09-03;1065328224781956.8
2017-09-04;1064389327782179.6
2017-09-05;1062213203809298.2
2017-09-06;1063913066061059.5
